id,Predicted
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,1
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,1
425,1
426,1
427,0
428,0
429,1
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,1
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,0
527,1
528,1
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,0
541,1
542,1
543,0
544,0
545,1
546,1
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,0
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,1
598,0
599,0
600,0
601,1
